 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 1992, Numar persoane,14
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 1993, Numar persoane,18
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 1994, Numar persoane,17
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 1995, Numar persoane,20
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 1996, Numar persoane,19
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 1997, Numar persoane,18
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 1998, Numar persoane,20
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 1999, Numar persoane,20
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2000, Numar persoane,16
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2001, Numar persoane,72
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2002, Numar persoane,63
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2003, Numar persoane,72
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2004, Numar persoane,68
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2005, Numar persoane,63
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2006, Numar persoane,53
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2007, Numar persoane,44
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2008, Numar persoane,49
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2001, Numar persoane,51
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2002, Numar persoane,55
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2003, Numar persoane,55
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2004, Numar persoane,61
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2005, Numar persoane,63
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2006, Numar persoane,65
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2007, Numar persoane,65
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2008, Numar persoane,57
 57948 GIRBAU,5- 9 ani, Masculin, Cluj, Anul 2001, Numar persoane,63
 57948 GIRBAU,5- 9 ani, Masculin, Cluj, Anul 2002, Numar persoane,72
 57948 GIRBAU,5- 9 ani, Masculin, Cluj, Anul 2003, Numar persoane,70
 57948 GIRBAU,5- 9 ani, Masculin, Cluj, Anul 2004, Numar persoane,79
 57948 GIRBAU,5- 9 ani, Masculin, Cluj, Anul 2005, Numar persoane,75
 57948 GIRBAU,5- 9 ani, Masculin, Cluj, Anul 2006, Numar persoane,73
 57948 GIRBAU,5- 9 ani, Masculin, Cluj, Anul 2007, Numar persoane,73
 57948 GIRBAU,5- 9 ani, Masculin, Cluj, Anul 2008, Numar persoane,76
 57948 GIRBAU,5- 9 ani, Feminin, Cluj, Anul 2001, Numar persoane,52
 57948 GIRBAU,5- 9 ani, Feminin, Cluj, Anul 2002, Numar persoane,50
 57948 GIRBAU,5- 9 ani, Feminin, Cluj, Anul 2003, Numar persoane,56
 57948 GIRBAU,5- 9 ani, Feminin, Cluj, Anul 2004, Numar persoane,60
 57948 GIRBAU,5- 9 ani, Feminin, Cluj, Anul 2005, Numar persoane,51
 57948 GIRBAU,5- 9 ani, Feminin, Cluj, Anul 2006, Numar persoane,54
 57948 GIRBAU,5- 9 ani, Feminin, Cluj, Anul 2007, Numar persoane,54
 57948 GIRBAU,5- 9 ani, Feminin, Cluj, Anul 2008, Numar persoane,55
 57948 GIRBAU,10-14 ani, Masculin, Cluj, Anul 2001, Numar persoane,68
 57948 GIRBAU,10-14 ani, Masculin, Cluj, Anul 2002, Numar persoane,70
 57948 GIRBAU,10-14 ani, Masculin, Cluj, Anul 2003, Numar persoane,70
 57948 GIRBAU,10-14 ani, Masculin, Cluj, Anul 2004, Numar persoane,61
 57948 GIRBAU,10-14 ani, Masculin, Cluj, Anul 2005, Numar persoane,51
 57948 GIRBAU,10-14 ani, Masculin, Cluj, Anul 2006, Numar persoane,62
 57948 GIRBAU,10-14 ani, Masculin, Cluj, Anul 2007, Numar persoane,63
 57948 GIRBAU,10-14 ani, Masculin, Cluj, Anul 2008, Numar persoane,64
 57948 GIRBAU,10-14 ani, Feminin, Cluj, Anul 2001, Numar persoane,78
 57948 GIRBAU,10-14 ani, Feminin, Cluj, Anul 2002, Numar persoane,68
 57948 GIRBAU,10-14 ani, Feminin, Cluj, Anul 2003, Numar persoane,62
 57948 GIRBAU,10-14 ani, Feminin, Cluj, Anul 2004, Numar persoane,60
 57948 GIRBAU,10-14 ani, Feminin, Cluj, Anul 2005, Numar persoane,71
 57948 GIRBAU,10-14 ani, Feminin, Cluj, Anul 2006, Numar persoane,57
 57948 GIRBAU,10-14 ani, Feminin, Cluj, Anul 2007, Numar persoane,59
 57948 GIRBAU,10-14 ani, Feminin, Cluj, Anul 2008, Numar persoane,66
 57948 GIRBAU,15-19 ani, Masculin, Cluj, Anul 2001, Numar persoane,77
 57948 GIRBAU,15-19 ani, Masculin, Cluj, Anul 2002, Numar persoane,74
 57948 GIRBAU,15-19 ani, Masculin, Cluj, Anul 2003, Numar persoane,71
 57948 GIRBAU,15-19 ani, Masculin, Cluj, Anul 2004, Numar persoane,79
 57948 GIRBAU,15-19 ani, Masculin, Cluj, Anul 2005, Numar persoane,86
 57948 GIRBAU,15-19 ani, Masculin, Cluj, Anul 2006, Numar persoane,76
 57948 GIRBAU,15-19 ani, Masculin, Cluj, Anul 2007, Numar persoane,73
 57948 GIRBAU,15-19 ani, Masculin, Cluj, Anul 2008, Numar persoane,70
 57948 GIRBAU,15-19 ani, Feminin, Cluj, Anul 2001, Numar persoane,50
 57948 GIRBAU,15-19 ani, Feminin, Cluj, Anul 2002, Numar persoane,52
 57948 GIRBAU,15-19 ani, Feminin, Cluj, Anul 2003, Numar persoane,59
 57948 GIRBAU,15-19 ani, Feminin, Cluj, Anul 2004, Numar persoane,71
 57948 GIRBAU,15-19 ani, Feminin, Cluj, Anul 2005, Numar persoane,78
 57948 GIRBAU,15-19 ani, Feminin, Cluj, Anul 2006, Numar persoane,92
 57948 GIRBAU,15-19 ani, Feminin, Cluj, Anul 2007, Numar persoane,82
 57948 GIRBAU,15-19 ani, Feminin, Cluj, Anul 2008, Numar persoane,69
 57948 GIRBAU,20-24 ani, Masculin, Cluj, Anul 2001, Numar persoane,76
 57948 GIRBAU,20-24 ani, Masculin, Cluj, Anul 2002, Numar persoane,78
 57948 GIRBAU,20-24 ani, Masculin, Cluj, Anul 2003, Numar persoane,78
 57948 GIRBAU,20-24 ani, Masculin, Cluj, Anul 2004, Numar persoane,74
 57948 GIRBAU,20-24 ani, Masculin, Cluj, Anul 2005, Numar persoane,73
 57948 GIRBAU,20-24 ani, Masculin, Cluj, Anul 2006, Numar persoane,83
 57948 GIRBAU,20-24 ani, Masculin, Cluj, Anul 2007, Numar persoane,78
 57948 GIRBAU,20-24 ani, Masculin, Cluj, Anul 2008, Numar persoane,75
 57948 GIRBAU,20-24 ani, Feminin, Cluj, Anul 2001, Numar persoane,85
 57948 GIRBAU,20-24 ani, Feminin, Cluj, Anul 2002, Numar persoane,84
 57948 GIRBAU,20-24 ani, Feminin, Cluj, Anul 2003, Numar persoane,75
 57948 GIRBAU,20-24 ani, Feminin, Cluj, Anul 2004, Numar persoane,71
 57948 GIRBAU,20-24 ani, Feminin, Cluj, Anul 2005, Numar persoane,67
 57948 GIRBAU,20-24 ani, Feminin, Cluj, Anul 2006, Numar persoane,60
 57948 GIRBAU,20-24 ani, Feminin, Cluj, Anul 2007, Numar persoane,56
 57948 GIRBAU,20-24 ani, Feminin, Cluj, Anul 2008, Numar persoane,64
 57948 GIRBAU,25-29 ani, Masculin, Cluj, Anul 2001, Numar persoane,86
 57948 GIRBAU,25-29 ani, Masculin, Cluj, Anul 2002, Numar persoane,85
 57948 GIRBAU,25-29 ani, Masculin, Cluj, Anul 2003, Numar persoane,84
 57948 GIRBAU,25-29 ani, Masculin, Cluj, Anul 2004, Numar persoane,91
 57948 GIRBAU,25-29 ani, Masculin, Cluj, Anul 2005, Numar persoane,84
 57948 GIRBAU,25-29 ani, Masculin, Cluj, Anul 2006, Numar persoane,77
 57948 GIRBAU,25-29 ani, Masculin, Cluj, Anul 2007, Numar persoane,81
 57948 GIRBAU,25-29 ani, Masculin, Cluj, Anul 2008, Numar persoane,90
 57948 GIRBAU,25-29 ani, Feminin, Cluj, Anul 2001, Numar persoane,74
 57948 GIRBAU,25-29 ani, Feminin, Cluj, Anul 2002, Numar persoane,76
 57948 GIRBAU,25-29 ani, Feminin, Cluj, Anul 2003, Numar persoane,83
 57948 GIRBAU,25-29 ani, Feminin, Cluj, Anul 2004, Numar persoane,83
 57948 GIRBAU,25-29 ani, Feminin, Cluj, Anul 2005, Numar persoane,75
 57948 GIRBAU,25-29 ani, Feminin, Cluj, Anul 2006, Numar persoane,80
 57948 GIRBAU,25-29 ani, Feminin, Cluj, Anul 2007, Numar persoane,82
 57948 GIRBAU,25-29 ani, Feminin, Cluj, Anul 2008, Numar persoane,74
 57948 GIRBAU,30-34 ani, Masculin, Cluj, Anul 2001, Numar persoane,99
 57948 GIRBAU,30-34 ani, Masculin, Cluj, Anul 2002, Numar persoane,104
 57948 GIRBAU,30-34 ani, Masculin, Cluj, Anul 2003, Numar persoane,103
 57948 GIRBAU,30-34 ani, Masculin, Cluj, Anul 2004, Numar persoane,88
 57948 GIRBAU,30-34 ani, Masculin, Cluj, Anul 2005, Numar persoane,90
 57948 GIRBAU,30-34 ani, Masculin, Cluj, Anul 2006, Numar persoane,89
 57948 GIRBAU,30-34 ani, Masculin, Cluj, Anul 2007, Numar persoane,86
 57948 GIRBAU,30-34 ani, Masculin, Cluj, Anul 2008, Numar persoane,83
 57948 GIRBAU,30-34 ani, Feminin, Cluj, Anul 2001, Numar persoane,83
 57948 GIRBAU,30-34 ani, Feminin, Cluj, Anul 2002, Numar persoane,94
 57948 GIRBAU,30-34 ani, Feminin, Cluj, Anul 2003, Numar persoane,84
 57948 GIRBAU,30-34 ani, Feminin, Cluj, Anul 2004, Numar persoane,82
 57948 GIRBAU,30-34 ani, Feminin, Cluj, Anul 2005, Numar persoane,81
 57948 GIRBAU,30-34 ani, Feminin, Cluj, Anul 2006, Numar persoane,78
 57948 GIRBAU,30-34 ani, Feminin, Cluj, Anul 2007, Numar persoane,81
 57948 GIRBAU,30-34 ani, Feminin, Cluj, Anul 2008, Numar persoane,90
 57948 GIRBAU,35-39 ani, Masculin, Cluj, Anul 2001, Numar persoane,85
 57948 GIRBAU,35-39 ani, Masculin, Cluj, Anul 2002, Numar persoane,77
 57948 GIRBAU,35-39 ani, Masculin, Cluj, Anul 2003, Numar persoane,91
 57948 GIRBAU,35-39 ani, Masculin, Cluj, Anul 2004, Numar persoane,98
 57948 GIRBAU,35-39 ani, Masculin, Cluj, Anul 2005, Numar persoane,101
 57948 GIRBAU,35-39 ani, Masculin, Cluj, Anul 2006, Numar persoane,104
 57948 GIRBAU,35-39 ani, Masculin, Cluj, Anul 2007, Numar persoane,110
 57948 GIRBAU,35-39 ani, Masculin, Cluj, Anul 2008, Numar persoane,106
 57948 GIRBAU,35-39 ani, Feminin, Cluj, Anul 2001, Numar persoane,50
 57948 GIRBAU,35-39 ani, Feminin, Cluj, Anul 2002, Numar persoane,47
 57948 GIRBAU,35-39 ani, Feminin, Cluj, Anul 2003, Numar persoane,57
 57948 GIRBAU,35-39 ani, Feminin, Cluj, Anul 2004, Numar persoane,68
 57948 GIRBAU,35-39 ani, Feminin, Cluj, Anul 2005, Numar persoane,87
 57948 GIRBAU,35-39 ani, Feminin, Cluj, Anul 2006, Numar persoane,93
 57948 GIRBAU,35-39 ani, Feminin, Cluj, Anul 2007, Numar persoane,98
 57948 GIRBAU,35-39 ani, Feminin, Cluj, Anul 2008, Numar persoane,82
 57948 GIRBAU,40-44 ani, Masculin, Cluj, Anul 2001, Numar persoane,74
 57948 GIRBAU,40-44 ani, Masculin, Cluj, Anul 2002, Numar persoane,81
 57948 GIRBAU,40-44 ani, Masculin, Cluj, Anul 2003, Numar persoane,73
 57948 GIRBAU,40-44 ani, Masculin, Cluj, Anul 2004, Numar persoane,73
 57948 GIRBAU,40-44 ani, Masculin, Cluj, Anul 2005, Numar persoane,75
 57948 GIRBAU,40-44 ani, Masculin, Cluj, Anul 2006, Numar persoane,82
 57948 GIRBAU,40-44 ani, Masculin, Cluj, Anul 2007, Numar persoane,71
 57948 GIRBAU,40-44 ani, Masculin, Cluj, Anul 2008, Numar persoane,84
 57948 GIRBAU,40-44 ani, Feminin, Cluj, Anul 2001, Numar persoane,63
 57948 GIRBAU,40-44 ani, Feminin, Cluj, Anul 2002, Numar persoane,69
 57948 GIRBAU,40-44 ani, Feminin, Cluj, Anul 2003, Numar persoane,70
 57948 GIRBAU,40-44 ani, Feminin, Cluj, Anul 2004, Numar persoane,65
 57948 GIRBAU,40-44 ani, Feminin, Cluj, Anul 2005, Numar persoane,59
 57948 GIRBAU,40-44 ani, Feminin, Cluj, Anul 2006, Numar persoane,57
 57948 GIRBAU,40-44 ani, Feminin, Cluj, Anul 2007, Numar persoane,55
 57948 GIRBAU,40-44 ani, Feminin, Cluj, Anul 2008, Numar persoane,65
 57948 GIRBAU,45-49 ani, Masculin, Cluj, Anul 2001, Numar persoane,72
 57948 GIRBAU,45-49 ani, Masculin, Cluj, Anul 2002, Numar persoane,84
 57948 GIRBAU,45-49 ani, Masculin, Cluj, Anul 2003, Numar persoane,81
 57948 GIRBAU,45-49 ani, Masculin, Cluj, Anul 2004, Numar persoane,80
 57948 GIRBAU,45-49 ani, Masculin, Cluj, Anul 2005, Numar persoane,84
 57948 GIRBAU,45-49 ani, Masculin, Cluj, Anul 2006, Numar persoane,73
 57948 GIRBAU,45-49 ani, Masculin, Cluj, Anul 2007, Numar persoane,84
 57948 GIRBAU,45-49 ani, Masculin, Cluj, Anul 2008, Numar persoane,79
 57948 GIRBAU,45-49 ani, Feminin, Cluj, Anul 2001, Numar persoane,77
 57948 GIRBAU,45-49 ani, Feminin, Cluj, Anul 2002, Numar persoane,77
 57948 GIRBAU,45-49 ani, Feminin, Cluj, Anul 2003, Numar persoane,72
 57948 GIRBAU,45-49 ani, Feminin, Cluj, Anul 2004, Numar persoane,70
 57948 GIRBAU,45-49 ani, Feminin, Cluj, Anul 2005, Numar persoane,69
 57948 GIRBAU,45-49 ani, Feminin, Cluj, Anul 2006, Numar persoane,65
 57948 GIRBAU,45-49 ani, Feminin, Cluj, Anul 2007, Numar persoane,70
 57948 GIRBAU,45-49 ani, Feminin, Cluj, Anul 2008, Numar persoane,69
 57948 GIRBAU,50-54 ani, Masculin, Cluj, Anul 2001, Numar persoane,77
 57948 GIRBAU,50-54 ani, Masculin, Cluj, Anul 2002, Numar persoane,73
 57948 GIRBAU,50-54 ani, Masculin, Cluj, Anul 2003, Numar persoane,74
 57948 GIRBAU,50-54 ani, Masculin, Cluj, Anul 2004, Numar persoane,80
 57948 GIRBAU,50-54 ani, Masculin, Cluj, Anul 2005, Numar persoane,73
 57948 GIRBAU,50-54 ani, Masculin, Cluj, Anul 2006, Numar persoane,77
 57948 GIRBAU,50-54 ani, Masculin, Cluj, Anul 2007, Numar persoane,82
 57948 GIRBAU,50-54 ani, Masculin, Cluj, Anul 2008, Numar persoane,78
 57948 GIRBAU,50-54 ani, Feminin, Cluj, Anul 2001, Numar persoane,82
 57948 GIRBAU,50-54 ani, Feminin, Cluj, Anul 2002, Numar persoane,75
 57948 GIRBAU,50-54 ani, Feminin, Cluj, Anul 2003, Numar persoane,87
 57948 GIRBAU,50-54 ani, Feminin, Cluj, Anul 2004, Numar persoane,88
 57948 GIRBAU,50-54 ani, Feminin, Cluj, Anul 2005, Numar persoane,81
 57948 GIRBAU,50-54 ani, Feminin, Cluj, Anul 2006, Numar persoane,79
 57948 GIRBAU,50-54 ani, Feminin, Cluj, Anul 2007, Numar persoane,78
 57948 GIRBAU,50-54 ani, Feminin, Cluj, Anul 2008, Numar persoane,74
 57948 GIRBAU,55-59 ani, Masculin, Cluj, Anul 2001, Numar persoane,74
 57948 GIRBAU,55-59 ani, Masculin, Cluj, Anul 2002, Numar persoane,70
 57948 GIRBAU,55-59 ani, Masculin, Cluj, Anul 2003, Numar persoane,69
 57948 GIRBAU,55-59 ani, Masculin, Cluj, Anul 2004, Numar persoane,67
 57948 GIRBAU,55-59 ani, Masculin, Cluj, Anul 2005, Numar persoane,76
 57948 GIRBAU,55-59 ani, Masculin, Cluj, Anul 2006, Numar persoane,78
 57948 GIRBAU,55-59 ani, Masculin, Cluj, Anul 2007, Numar persoane,73
 57948 GIRBAU,55-59 ani, Masculin, Cluj, Anul 2008, Numar persoane,80
 57948 GIRBAU,55-59 ani, Feminin, Cluj, Anul 2001, Numar persoane,87
 57948 GIRBAU,55-59 ani, Feminin, Cluj, Anul 2002, Numar persoane,84
 57948 GIRBAU,55-59 ani, Feminin, Cluj, Anul 2003, Numar persoane,85
 57948 GIRBAU,55-59 ani, Feminin, Cluj, Anul 2004, Numar persoane,84
 57948 GIRBAU,55-59 ani, Feminin, Cluj, Anul 2005, Numar persoane,87
 57948 GIRBAU,55-59 ani, Feminin, Cluj, Anul 2006, Numar persoane,88
 57948 GIRBAU,55-59 ani, Feminin, Cluj, Anul 2007, Numar persoane,80
 57948 GIRBAU,55-59 ani, Feminin, Cluj, Anul 2008, Numar persoane,89
 57948 GIRBAU,60-64 ani, Masculin, Cluj, Anul 2001, Numar persoane,79
 57948 GIRBAU,60-64 ani, Masculin, Cluj, Anul 2002, Numar persoane,73
 57948 GIRBAU,60-64 ani, Masculin, Cluj, Anul 2003, Numar persoane,76
 57948 GIRBAU,60-64 ani, Masculin, Cluj, Anul 2004, Numar persoane,70
 57948 GIRBAU,60-64 ani, Masculin, Cluj, Anul 2005, Numar persoane,74
 57948 GIRBAU,60-64 ani, Masculin, Cluj, Anul 2006, Numar persoane,74
 57948 GIRBAU,60-64 ani, Masculin, Cluj, Anul 2007, Numar persoane,68
 57948 GIRBAU,60-64 ani, Masculin, Cluj, Anul 2008, Numar persoane,68
 57948 GIRBAU,60-64 ani, Feminin, Cluj, Anul 2001, Numar persoane,98
 57948 GIRBAU,60-64 ani, Feminin, Cluj, Anul 2002, Numar persoane,98
 57948 GIRBAU,60-64 ani, Feminin, Cluj, Anul 2003, Numar persoane,96
 57948 GIRBAU,60-64 ani, Feminin, Cluj, Anul 2004, Numar persoane,84
 57948 GIRBAU,60-64 ani, Feminin, Cluj, Anul 2005, Numar persoane,89
 57948 GIRBAU,60-64 ani, Feminin, Cluj, Anul 2006, Numar persoane,86
 57948 GIRBAU,60-64 ani, Feminin, Cluj, Anul 2007, Numar persoane,88
 57948 GIRBAU,60-64 ani, Feminin, Cluj, Anul 2008, Numar persoane,89
 57948 GIRBAU,65-69 ani, Masculin, Cluj, Anul 2001, Numar persoane,87
 57948 GIRBAU,65-69 ani, Masculin, Cluj, Anul 2002, Numar persoane,85
 57948 GIRBAU,65-69 ani, Masculin, Cluj, Anul 2003, Numar persoane,76
 57948 GIRBAU,65-69 ani, Masculin, Cluj, Anul 2004, Numar persoane,71
 57948 GIRBAU,65-69 ani, Masculin, Cluj, Anul 2005, Numar persoane,67
 57948 GIRBAU,65-69 ani, Masculin, Cluj, Anul 2006, Numar persoane,67
 57948 GIRBAU,65-69 ani, Masculin, Cluj, Anul 2007, Numar persoane,65
 57948 GIRBAU,65-69 ani, Masculin, Cluj, Anul 2008, Numar persoane,67
 57948 GIRBAU,65-69 ani, Feminin, Cluj, Anul 2001, Numar persoane,100
 57948 GIRBAU,65-69 ani, Feminin, Cluj, Anul 2002, Numar persoane,100
 57948 GIRBAU,65-69 ani, Feminin, Cluj, Anul 2003, Numar persoane,94
 57948 GIRBAU,65-69 ani, Feminin, Cluj, Anul 2004, Numar persoane,94
 57948 GIRBAU,65-69 ani, Feminin, Cluj, Anul 2005, Numar persoane,94
 57948 GIRBAU,65-69 ani, Feminin, Cluj, Anul 2006, Numar persoane,92
 57948 GIRBAU,65-69 ani, Feminin, Cluj, Anul 2007, Numar persoane,88
 57948 GIRBAU,65-69 ani, Feminin, Cluj, Anul 2008, Numar persoane,88
 57948 GIRBAU,70-74 ani, Masculin, Cluj, Anul 2001, Numar persoane,63
 57948 GIRBAU,70-74 ani, Masculin, Cluj, Anul 2002, Numar persoane,65
 57948 GIRBAU,70-74 ani, Masculin, Cluj, Anul 2003, Numar persoane,67
 57948 GIRBAU,70-74 ani, Masculin, Cluj, Anul 2004, Numar persoane,68
 57948 GIRBAU,70-74 ani, Masculin, Cluj, Anul 2005, Numar persoane,72
 57948 GIRBAU,70-74 ani, Masculin, Cluj, Anul 2006, Numar persoane,73
 57948 GIRBAU,70-74 ani, Masculin, Cluj, Anul 2007, Numar persoane,71
 57948 GIRBAU,70-74 ani, Masculin, Cluj, Anul 2008, Numar persoane,62
 57948 GIRBAU,70-74 ani, Feminin, Cluj, Anul 2001, Numar persoane,93
 57948 GIRBAU,70-74 ani, Feminin, Cluj, Anul 2002, Numar persoane,90
 57948 GIRBAU,70-74 ani, Feminin, Cluj, Anul 2003, Numar persoane,94
 57948 GIRBAU,70-74 ani, Feminin, Cluj, Anul 2004, Numar persoane,87
 57948 GIRBAU,70-74 ani, Feminin, Cluj, Anul 2005, Numar persoane,91
 57948 GIRBAU,70-74 ani, Feminin, Cluj, Anul 2006, Numar persoane,88
 57948 GIRBAU,70-74 ani, Feminin, Cluj, Anul 2007, Numar persoane,90
 57948 GIRBAU,70-74 ani, Feminin, Cluj, Anul 2008, Numar persoane,84
 57948 GIRBAU,75-79 ani, Masculin, Cluj, Anul 2001, Numar persoane,39
 57948 GIRBAU,75-79 ani, Masculin, Cluj, Anul 2002, Numar persoane,44
 57948 GIRBAU,75-79 ani, Masculin, Cluj, Anul 2003, Numar persoane,50
 57948 GIRBAU,75-79 ani, Masculin, Cluj, Anul 2004, Numar persoane,51
 57948 GIRBAU,75-79 ani, Masculin, Cluj, Anul 2005, Numar persoane,49
 57948 GIRBAU,75-79 ani, Masculin, Cluj, Anul 2006, Numar persoane,40
 57948 GIRBAU,75-79 ani, Masculin, Cluj, Anul 2007, Numar persoane,41
 57948 GIRBAU,75-79 ani, Masculin, Cluj, Anul 2008, Numar persoane,47
 57948 GIRBAU,75-79 ani, Feminin, Cluj, Anul 2001, Numar persoane,51
 57948 GIRBAU,75-79 ani, Feminin, Cluj, Anul 2002, Numar persoane,58
 57948 GIRBAU,75-79 ani, Feminin, Cluj, Anul 2003, Numar persoane,58
 57948 GIRBAU,75-79 ani, Feminin, Cluj, Anul 2004, Numar persoane,71
 57948 GIRBAU,75-79 ani, Feminin, Cluj, Anul 2005, Numar persoane,75
 57948 GIRBAU,75-79 ani, Feminin, Cluj, Anul 2006, Numar persoane,70
 57948 GIRBAU,75-79 ani, Feminin, Cluj, Anul 2007, Numar persoane,71
 57948 GIRBAU,75-79 ani, Feminin, Cluj, Anul 2008, Numar persoane,73
 57948 GIRBAU,80-84 ani, Masculin, Cluj, Anul 2001, Numar persoane,15
 57948 GIRBAU,80-84 ani, Masculin, Cluj, Anul 2002, Numar persoane,14
 57948 GIRBAU,80-84 ani, Masculin, Cluj, Anul 2003, Numar persoane,15
 57948 GIRBAU,80-84 ani, Masculin, Cluj, Anul 2004, Numar persoane,15
 57948 GIRBAU,80-84 ani, Masculin, Cluj, Anul 2005, Numar persoane,15
 57948 GIRBAU,80-84 ani, Masculin, Cluj, Anul 2006, Numar persoane,22
 57948 GIRBAU,80-84 ani, Masculin, Cluj, Anul 2007, Numar persoane,27
 57948 GIRBAU,80-84 ani, Masculin, Cluj, Anul 2008, Numar persoane,27
 57948 GIRBAU,80-84 ani, Feminin, Cluj, Anul 2001, Numar persoane,21
 57948 GIRBAU,80-84 ani, Feminin, Cluj, Anul 2002, Numar persoane,24
 57948 GIRBAU,80-84 ani, Feminin, Cluj, Anul 2003, Numar persoane,28
 57948 GIRBAU,80-84 ani, Feminin, Cluj, Anul 2004, Numar persoane,28
 57948 GIRBAU,80-84 ani, Feminin, Cluj, Anul 2005, Numar persoane,26
 57948 GIRBAU,80-84 ani, Feminin, Cluj, Anul 2006, Numar persoane,28
 57948 GIRBAU,80-84 ani, Feminin, Cluj, Anul 2007, Numar persoane,31
 57948 GIRBAU,80-84 ani, Feminin, Cluj, Anul 2008, Numar persoane,32
 57948 GIRBAU,85 ani si peste, Masculin, Cluj, Anul 2001, Numar persoane,12
 57948 GIRBAU,85 ani si peste, Masculin, Cluj, Anul 2002, Numar persoane,9
 57948 GIRBAU,85 ani si peste, Masculin, Cluj, Anul 2003, Numar persoane,8
 57948 GIRBAU,85 ani si peste, Masculin, Cluj, Anul 2004, Numar persoane,8
 57948 GIRBAU,85 ani si peste, Masculin, Cluj, Anul 2005, Numar persoane,10
 57948 GIRBAU,85 ani si peste, Masculin, Cluj, Anul 2006, Numar persoane,6
 57948 GIRBAU,85 ani si peste, Masculin, Cluj, Anul 2007, Numar persoane,8
 57948 GIRBAU,85 ani si peste, Masculin, Cluj, Anul 2008, Numar persoane,8
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2001, Numar persoane,11
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2002, Numar persoane,10
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2003, Numar persoane,10
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2004, Numar persoane,9
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2005, Numar persoane,7
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2006, Numar persoane,11
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2007, Numar persoane,14
 57948 GIRBAU,85 ani si peste, Feminin, Cluj, Anul 2008, Numar persoane,15
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2009, Numar persoane,53
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2010, Numar persoane,58
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2011, Numar persoane,50
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2012, Numar persoane,54
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2013, Numar persoane,51
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2014, Numar persoane,49
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2015, Numar persoane,51
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2016, Numar persoane,53
 57948 GIRBAU,0- 4 ani, Masculin, Cluj, Anul 2017, Numar persoane,56
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2009, Numar persoane,55
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2010, Numar persoane,55
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2011, Numar persoane,51
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2012, Numar persoane,45
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2013, Numar persoane,42
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2014, Numar persoane,36
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2015, Numar persoane,33
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2016, Numar persoane,38
 57948 GIRBAU,0- 4 ani, Feminin, Cluj, Anul 2017, Numar persoane,44
