 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2000, Numar persoane,6
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2001, Numar persoane,6
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2002, Numar persoane,8
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2003, Numar persoane,5
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2004, Numar persoane,6
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2005, Numar persoane,8
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2006, Numar persoane,6
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2007, Numar persoane,3
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2008, Numar persoane,2
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2009, Numar persoane,4
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2010, Numar persoane,8
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2011, Numar persoane,9
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2012, Numar persoane,9
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2013, Numar persoane,10
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2014, Numar persoane,12
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2015, Numar persoane,13
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2016, Numar persoane,15
 65099 VALEA MARE,85 ani si peste, Feminin, Covasna, Anul 2017, Numar persoane,15
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2000, Numar persoane,49
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2001, Numar persoane,50
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2002, Numar persoane,45
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2003, Numar persoane,43
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2004, Numar persoane,39
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2005, Numar persoane,30
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2006, Numar persoane,28
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2007, Numar persoane,29
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2008, Numar persoane,27
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2009, Numar persoane,25
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2010, Numar persoane,31
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2011, Numar persoane,29
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2012, Numar persoane,35
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2013, Numar persoane,39
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2014, Numar persoane,44
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2015, Numar persoane,43
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2016, Numar persoane,42
 65099 VALEA MARE,0- 4 ani, Masculin, Covasna, Anul 2017, Numar persoane,35
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2000, Numar persoane,35
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2001, Numar persoane,36
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2002, Numar persoane,41
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2003, Numar persoane,40
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2004, Numar persoane,47
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2005, Numar persoane,49
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2006, Numar persoane,50
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2007, Numar persoane,45
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2008, Numar persoane,44
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2009, Numar persoane,41
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2010, Numar persoane,32
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2011, Numar persoane,29
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2012, Numar persoane,28
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2013, Numar persoane,27
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2014, Numar persoane,27
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2015, Numar persoane,35
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2016, Numar persoane,33
 65099 VALEA MARE,5- 9 ani, Masculin, Covasna, Anul 2017, Numar persoane,38
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2000, Numar persoane,67
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2001, Numar persoane,55
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2002, Numar persoane,48
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2003, Numar persoane,48
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2004, Numar persoane,39
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2005, Numar persoane,35
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2006, Numar persoane,36
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2007, Numar persoane,41
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2008, Numar persoane,40
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2009, Numar persoane,50
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2010, Numar persoane,52
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2011, Numar persoane,55
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2012, Numar persoane,52
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2013, Numar persoane,51
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2014, Numar persoane,46
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2015, Numar persoane,34
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2016, Numar persoane,28
 65099 VALEA MARE,10-14 ani, Masculin, Covasna, Anul 2017, Numar persoane,28
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2000, Numar persoane,42
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2001, Numar persoane,55
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2002, Numar persoane,64
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2003, Numar persoane,62
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2004, Numar persoane,64
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2005, Numar persoane,68
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2006, Numar persoane,56
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2007, Numar persoane,47
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2008, Numar persoane,47
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2009, Numar persoane,38
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2010, Numar persoane,34
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2011, Numar persoane,35
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2012, Numar persoane,39
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2013, Numar persoane,36
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2014, Numar persoane,48
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2015, Numar persoane,55
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2016, Numar persoane,60
 65099 VALEA MARE,15-19 ani, Masculin, Covasna, Anul 2017, Numar persoane,56
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2000, Numar persoane,49
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2001, Numar persoane,45
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2002, Numar persoane,37
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2003, Numar persoane,35
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2004, Numar persoane,43
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2005, Numar persoane,45
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2006, Numar persoane,57
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2007, Numar persoane,66
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2008, Numar persoane,61
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2009, Numar persoane,63
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2010, Numar persoane,64
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2011, Numar persoane,54
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2012, Numar persoane,48
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2013, Numar persoane,49
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2014, Numar persoane,36
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2015, Numar persoane,33
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2016, Numar persoane,33
 65099 VALEA MARE,20-24 ani, Masculin, Covasna, Anul 2017, Numar persoane,39
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2000, Numar persoane,44
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2001, Numar persoane,45
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2002, Numar persoane,45
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2003, Numar persoane,55
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2004, Numar persoane,51
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2005, Numar persoane,49
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2006, Numar persoane,45
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2007, Numar persoane,36
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2008, Numar persoane,32
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2009, Numar persoane,41
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2010, Numar persoane,43
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2011, Numar persoane,53
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2012, Numar persoane,62
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2013, Numar persoane,59
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2014, Numar persoane,62
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2015, Numar persoane,65
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2016, Numar persoane,55
 65099 VALEA MARE,25-29 ani, Masculin, Covasna, Anul 2017, Numar persoane,42
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2000, Numar persoane,47
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2001, Numar persoane,54
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2002, Numar persoane,58
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2003, Numar persoane,48
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2004, Numar persoane,47
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2005, Numar persoane,45
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2006, Numar persoane,45
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2007, Numar persoane,46
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2008, Numar persoane,54
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2009, Numar persoane,49
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2010, Numar persoane,46
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2011, Numar persoane,40
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2012, Numar persoane,35
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2013, Numar persoane,32
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2014, Numar persoane,39
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2015, Numar persoane,41
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2016, Numar persoane,52
 65099 VALEA MARE,30-34 ani, Masculin, Covasna, Anul 2017, Numar persoane,61
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2000, Numar persoane,38
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2001, Numar persoane,32
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2002, Numar persoane,32
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2003, Numar persoane,34
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2004, Numar persoane,37
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2005, Numar persoane,47
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2006, Numar persoane,54
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2007, Numar persoane,58
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2008, Numar persoane,48
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2009, Numar persoane,48
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2010, Numar persoane,44
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2011, Numar persoane,42
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2012, Numar persoane,45
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2013, Numar persoane,54
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2014, Numar persoane,50
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2015, Numar persoane,49
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2016, Numar persoane,45
 65099 VALEA MARE,35-39 ani, Masculin, Covasna, Anul 2017, Numar persoane,41
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2000, Numar persoane,41
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2001, Numar persoane,47
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2002, Numar persoane,42
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2003, Numar persoane,48
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2004, Numar persoane,46
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2005, Numar persoane,39
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2006, Numar persoane,32
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2007, Numar persoane,32
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2008, Numar persoane,34
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2009, Numar persoane,36
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2010, Numar persoane,47
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2011, Numar persoane,54
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2012, Numar persoane,55
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2013, Numar persoane,46
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2014, Numar persoane,46
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2015, Numar persoane,42
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2016, Numar persoane,42
 65099 VALEA MARE,40-44 ani, Masculin, Covasna, Anul 2017, Numar persoane,44
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2000, Numar persoane,25
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2001, Numar persoane,24
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2002, Numar persoane,30
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2003, Numar persoane,30
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2004, Numar persoane,33
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2005, Numar persoane,38
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2006, Numar persoane,44
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2007, Numar persoane,39
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2008, Numar persoane,47
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2009, Numar persoane,46
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2010, Numar persoane,39
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2011, Numar persoane,32
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2012, Numar persoane,33
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2013, Numar persoane,34
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2014, Numar persoane,36
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2015, Numar persoane,48
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2016, Numar persoane,54
 65099 VALEA MARE,45-49 ani, Masculin, Covasna, Anul 2017, Numar persoane,53
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2000, Numar persoane,33
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2001, Numar persoane,34
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2002, Numar persoane,34
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2003, Numar persoane,31
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2004, Numar persoane,28
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2005, Numar persoane,25
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2006, Numar persoane,23
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2007, Numar persoane,27
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2008, Numar persoane,26
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2009, Numar persoane,31
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2010, Numar persoane,37
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2011, Numar persoane,43
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2012, Numar persoane,37
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2013, Numar persoane,44
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2014, Numar persoane,45
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2015, Numar persoane,39
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2016, Numar persoane,32
 65099 VALEA MARE,50-54 ani, Masculin, Covasna, Anul 2017, Numar persoane,33
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2000, Numar persoane,34
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2001, Numar persoane,27
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2002, Numar persoane,23
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2003, Numar persoane,27
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2004, Numar persoane,31
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2005, Numar persoane,30
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2006, Numar persoane,32
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2007, Numar persoane,32
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2008, Numar persoane,29
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2009, Numar persoane,27
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2010, Numar persoane,23
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2011, Numar persoane,21
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2012, Numar persoane,27
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2013, Numar persoane,27
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2014, Numar persoane,29
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2015, Numar persoane,34
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2016, Numar persoane,40
 65099 VALEA MARE,55-59 ani, Masculin, Covasna, Anul 2017, Numar persoane,39
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2000, Numar persoane,24
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2001, Numar persoane,28
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2002, Numar persoane,30
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2003, Numar persoane,30
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2004, Numar persoane,30
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2005, Numar persoane,33
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2006, Numar persoane,26
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2007, Numar persoane,21
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2008, Numar persoane,26
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2009, Numar persoane,29
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2010, Numar persoane,28
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2011, Numar persoane,28
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2012, Numar persoane,29
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2013, Numar persoane,28
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2014, Numar persoane,23
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2015, Numar persoane,20
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2016, Numar persoane,19
 65099 VALEA MARE,60-64 ani, Masculin, Covasna, Anul 2017, Numar persoane,22
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2000, Numar persoane,34
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2001, Numar persoane,33
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2002, Numar persoane,31
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2003, Numar persoane,24
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2004, Numar persoane,21
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2005, Numar persoane,20
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2006, Numar persoane,25
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2007, Numar persoane,27
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2008, Numar persoane,28
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2009, Numar persoane,29
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2010, Numar persoane,30
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2011, Numar persoane,23
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2012, Numar persoane,19
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2013, Numar persoane,23
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2014, Numar persoane,26
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2015, Numar persoane,25
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2016, Numar persoane,26
 65099 VALEA MARE,65-69 ani, Masculin, Covasna, Anul 2017, Numar persoane,27
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2000, Numar persoane,17
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2001, Numar persoane,19
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2002, Numar persoane,19
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2003, Numar persoane,22
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2004, Numar persoane,25
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2005, Numar persoane,28
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2006, Numar persoane,24
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2007, Numar persoane,22
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2008, Numar persoane,19
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2009, Numar persoane,17
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2010, Numar persoane,18
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2011, Numar persoane,22
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2012, Numar persoane,22
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2013, Numar persoane,22
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2014, Numar persoane,23
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2015, Numar persoane,23
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2016, Numar persoane,19
 65099 VALEA MARE,70-74 ani, Masculin, Covasna, Anul 2017, Numar persoane,17
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2000, Numar persoane,12
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2001, Numar persoane,13
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2002, Numar persoane,13
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2003, Numar persoane,10
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2004, Numar persoane,8
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2005, Numar persoane,9
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2006, Numar persoane,13
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2007, Numar persoane,12
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2008, Numar persoane,15
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2009, Numar persoane,18
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2010, Numar persoane,20
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2011, Numar persoane,18
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2012, Numar persoane,19
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2013, Numar persoane,16
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2014, Numar persoane,13
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2015, Numar persoane,15
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2016, Numar persoane,16
 65099 VALEA MARE,75-79 ani, Masculin, Covasna, Anul 2017, Numar persoane,16
 65099 VALEA MARE,80-84 ani, Masculin, Covasna, Anul 2000, Numar persoane,3
 65099 VALEA MARE,80-84 ani, Masculin, Covasna, Anul 2001, Numar persoane,2
