 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 1996, Numar persoane,96
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 1997, Numar persoane,101
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 1998, Numar persoane,92
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 1999, Numar persoane,90
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2000, Numar persoane,85
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2001, Numar persoane,93
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2002, Numar persoane,93
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2003, Numar persoane,104
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2004, Numar persoane,118
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2005, Numar persoane,124
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2006, Numar persoane,118
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2007, Numar persoane,118
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2008, Numar persoane,99
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2009, Numar persoane,84
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2010, Numar persoane,81
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2011, Numar persoane,83
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2012, Numar persoane,81
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2013, Numar persoane,93
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2014, Numar persoane,97
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2015, Numar persoane,101
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2016, Numar persoane,96
 64130 CATALINA,60-64 ani, Feminin, Covasna, Anul 2017, Numar persoane,95
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 1992, Numar persoane,84
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 1993, Numar persoane,92
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 1994, Numar persoane,96
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 1995, Numar persoane,98
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 1996, Numar persoane,92
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 1997, Numar persoane,92
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 1998, Numar persoane,93
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 1999, Numar persoane,92
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2000, Numar persoane,97
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2001, Numar persoane,93
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2002, Numar persoane,99
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2003, Numar persoane,90
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2004, Numar persoane,89
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2005, Numar persoane,84
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2006, Numar persoane,88
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2007, Numar persoane,90
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2008, Numar persoane,101
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2009, Numar persoane,110
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2010, Numar persoane,115
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2011, Numar persoane,111
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2012, Numar persoane,108
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2013, Numar persoane,92
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2014, Numar persoane,81
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2015, Numar persoane,78
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2016, Numar persoane,79
 64130 CATALINA,65-69 ani, Feminin, Covasna, Anul 2017, Numar persoane,76
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 1992, Numar persoane,64
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 1993, Numar persoane,62
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 1994, Numar persoane,63
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 1995, Numar persoane,68
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 1996, Numar persoane,73
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 1997, Numar persoane,75
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 1998, Numar persoane,80
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 1999, Numar persoane,86
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2000, Numar persoane,86
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2001, Numar persoane,86
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2002, Numar persoane,90
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2003, Numar persoane,93
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2004, Numar persoane,88
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2005, Numar persoane,89
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2006, Numar persoane,84
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2007, Numar persoane,87
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2008, Numar persoane,82
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2009, Numar persoane,81
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2010, Numar persoane,80
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2011, Numar persoane,84
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2012, Numar persoane,84
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2013, Numar persoane,89
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2014, Numar persoane,98
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2015, Numar persoane,103
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2016, Numar persoane,98
 64130 CATALINA,70-74 ani, Feminin, Covasna, Anul 2017, Numar persoane,93
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 1992, Numar persoane,55
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 1993, Numar persoane,52
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 1994, Numar persoane,50
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 1995, Numar persoane,47
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 1996, Numar persoane,48
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 1997, Numar persoane,49
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 1998, Numar persoane,49
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 1999, Numar persoane,52
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2000, Numar persoane,53
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2001, Numar persoane,64
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2002, Numar persoane,67
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2003, Numar persoane,72
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2004, Numar persoane,80
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2005, Numar persoane,80
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2006, Numar persoane,76
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2007, Numar persoane,70
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2008, Numar persoane,73
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2009, Numar persoane,66
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2010, Numar persoane,69
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2011, Numar persoane,65
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2012, Numar persoane,71
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2013, Numar persoane,67
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2014, Numar persoane,68
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2015, Numar persoane,70
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2016, Numar persoane,73
 64130 CATALINA,75-79 ani, Feminin, Covasna, Anul 2017, Numar persoane,74
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 1992, Numar persoane,53
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 1993, Numar persoane,53
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 1994, Numar persoane,54
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 1995, Numar persoane,49
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 1996, Numar persoane,43
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 1997, Numar persoane,35
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 1998, Numar persoane,37
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 1999, Numar persoane,38
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2000, Numar persoane,35
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2001, Numar persoane,34
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2002, Numar persoane,35
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2003, Numar persoane,35
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2004, Numar persoane,38
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2005, Numar persoane,41
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2006, Numar persoane,50
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2007, Numar persoane,51
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2008, Numar persoane,52
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2009, Numar persoane,61
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2010, Numar persoane,55
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2011, Numar persoane,56
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2012, Numar persoane,56
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2013, Numar persoane,51
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2014, Numar persoane,49
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2015, Numar persoane,44
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2016, Numar persoane,47
 64130 CATALINA,80-84 ani, Feminin, Covasna, Anul 2017, Numar persoane,51
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 1992, Numar persoane,25
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 1993, Numar persoane,25
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 1994, Numar persoane,28
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 1995, Numar persoane,40
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 1996, Numar persoane,40
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 1997, Numar persoane,34
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 1998, Numar persoane,30
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 1999, Numar persoane,28
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2000, Numar persoane,28
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2001, Numar persoane,29
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2002, Numar persoane,28
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2003, Numar persoane,26
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2004, Numar persoane,26
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2005, Numar persoane,24
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2006, Numar persoane,25
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2007, Numar persoane,26
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2008, Numar persoane,24
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2009, Numar persoane,26
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2010, Numar persoane,31
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2011, Numar persoane,36
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2012, Numar persoane,37
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2013, Numar persoane,40
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2014, Numar persoane,38
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2015, Numar persoane,37
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2016, Numar persoane,43
 64130 CATALINA,85 ani si peste, Feminin, Covasna, Anul 2017, Numar persoane,41
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 1992, Numar persoane,130
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 1993, Numar persoane,117
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 1994, Numar persoane,104
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 1995, Numar persoane,90
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 1996, Numar persoane,85
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 1997, Numar persoane,92
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 1998, Numar persoane,87
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 1999, Numar persoane,88
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2000, Numar persoane,101
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2001, Numar persoane,100
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2002, Numar persoane,101
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2003, Numar persoane,92
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2004, Numar persoane,87
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2005, Numar persoane,79
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2006, Numar persoane,77
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2007, Numar persoane,79
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2008, Numar persoane,82
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2009, Numar persoane,91
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2010, Numar persoane,95
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2011, Numar persoane,95
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2012, Numar persoane,96
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2013, Numar persoane,94
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2014, Numar persoane,84
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2015, Numar persoane,84
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2016, Numar persoane,83
 64130 CATALINA,0- 4 ani, Masculin, Covasna, Anul 2017, Numar persoane,72
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 1992, Numar persoane,124
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 1993, Numar persoane,136
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 1994, Numar persoane,137
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 1995, Numar persoane,140
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 1996, Numar persoane,140
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 1997, Numar persoane,127
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 1998, Numar persoane,126
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 1999, Numar persoane,120
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2000, Numar persoane,107
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2001, Numar persoane,105
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2002, Numar persoane,107
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2003, Numar persoane,104
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2004, Numar persoane,99
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2005, Numar persoane,104
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2006, Numar persoane,102
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2007, Numar persoane,102
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2008, Numar persoane,95
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2009, Numar persoane,87
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2010, Numar persoane,81
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2011, Numar persoane,76
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2012, Numar persoane,79
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2013, Numar persoane,82
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2014, Numar persoane,87
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2015, Numar persoane,85
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2016, Numar persoane,93
 64130 CATALINA,5- 9 ani, Masculin, Covasna, Anul 2017, Numar persoane,93
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 1992, Numar persoane,121
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 1993, Numar persoane,122
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 1994, Numar persoane,120
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 1995, Numar persoane,123
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 1996, Numar persoane,117
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 1997, Numar persoane,127
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 1998, Numar persoane,137
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 1999, Numar persoane,143
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2000, Numar persoane,147
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2001, Numar persoane,147
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2002, Numar persoane,137
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2003, Numar persoane,135
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2004, Numar persoane,125
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2005, Numar persoane,108
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2006, Numar persoane,106
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2007, Numar persoane,110
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2008, Numar persoane,104
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2009, Numar persoane,106
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2010, Numar persoane,111
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2011, Numar persoane,108
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2012, Numar persoane,103
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2013, Numar persoane,97
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2014, Numar persoane,87
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2015, Numar persoane,79
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2016, Numar persoane,73
 64130 CATALINA,10-14 ani, Masculin, Covasna, Anul 2017, Numar persoane,81
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 1992, Numar persoane,145
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 1993, Numar persoane,124
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 1994, Numar persoane,128
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 1995, Numar persoane,131
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 1996, Numar persoane,122
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 1997, Numar persoane,123
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 1998, Numar persoane,124
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 1999, Numar persoane,120
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2000, Numar persoane,125
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2001, Numar persoane,122
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2002, Numar persoane,136
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2003, Numar persoane,147
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2004, Numar persoane,161
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2005, Numar persoane,161
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2006, Numar persoane,155
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2007, Numar persoane,139
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2008, Numar persoane,132
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2009, Numar persoane,123
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2010, Numar persoane,110
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2011, Numar persoane,105
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2012, Numar persoane,107
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2013, Numar persoane,100
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2014, Numar persoane,102
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2015, Numar persoane,108
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2016, Numar persoane,108
 64130 CATALINA,15-19 ani, Masculin, Covasna, Anul 2017, Numar persoane,106
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 1992, Numar persoane,166
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 1993, Numar persoane,166
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 1994, Numar persoane,155
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 1995, Numar persoane,132
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 1996, Numar persoane,144
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 1997, Numar persoane,142
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 1998, Numar persoane,126
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 1999, Numar persoane,135
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2000, Numar persoane,138
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2001, Numar persoane,123
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2002, Numar persoane,123
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2003, Numar persoane,132
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2004, Numar persoane,128
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2005, Numar persoane,134
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2006, Numar persoane,128
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2007, Numar persoane,135
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2008, Numar persoane,144
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2009, Numar persoane,155
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2010, Numar persoane,159
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2011, Numar persoane,151
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2012, Numar persoane,137
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2013, Numar persoane,129
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2014, Numar persoane,117
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2015, Numar persoane,109
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2016, Numar persoane,104
 64130 CATALINA,20-24 ani, Masculin, Covasna, Anul 2017, Numar persoane,107
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 1992, Numar persoane,95
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 1993, Numar persoane,106
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 1994, Numar persoane,120
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 1995, Numar persoane,141
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 1996, Numar persoane,149
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 1997, Numar persoane,157
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 1998, Numar persoane,159
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 1999, Numar persoane,152
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2000, Numar persoane,132
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2001, Numar persoane,151
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2002, Numar persoane,147
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2003, Numar persoane,136
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2004, Numar persoane,144
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2005, Numar persoane,144
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2006, Numar persoane,131
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2007, Numar persoane,132
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2008, Numar persoane,130
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2009, Numar persoane,119
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2010, Numar persoane,124
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2011, Numar persoane,123
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2012, Numar persoane,131
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2013, Numar persoane,138
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2014, Numar persoane,154
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2015, Numar persoane,148
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2016, Numar persoane,145
 64130 CATALINA,25-29 ani, Masculin, Covasna, Anul 2017, Numar persoane,130
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 1992, Numar persoane,116
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 1993, Numar persoane,103
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 1994, Numar persoane,102
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 1995, Numar persoane,104
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 1996, Numar persoane,95
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 1997, Numar persoane,96
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 1998, Numar persoane,109
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 1999, Numar persoane,122
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 2000, Numar persoane,143
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 2001, Numar persoane,153
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 2002, Numar persoane,161
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 2003, Numar persoane,159
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 2004, Numar persoane,151
 64130 CATALINA,30-34 ani, Masculin, Covasna, Anul 2005, Numar persoane,140
